MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,AVG_BREAKPOINTS,MAX_PELLETS
FEDXDF1,F,PR,4,CAS5,42.666666666666664,66
FEDXDF1,F,PR,4,SUC,31,33
FEDXDF2,F,PR,4,CAS5,8.8,77
FEDXDF2,F,PR,4,SUC,4,47
FEDXDF3,F,PR,4,CAS5,18,63
FEDXDF3,F,PR,4,SUC,10,48
FEDXDF4,F,PR,4,CAS5,18.857142857142858,80
FEDXDF4,F,PR,4,SUC,9.142857142857142,43
FEDXDF5,F,PR,4,CAS5,14,55
FEDXDF5,F,PR,4,SUC,7.333333333333333,48
FEDXDF6,F,PR,4,CAS5,9,58
FEDXDF6,F,PR,4,SUC,6,39
FEDXDF7,F,PR,4,CAS5,30,79
FEDXDF7,F,PR,4,SUC,19.333333333333332,48
FEDXDF8,F,PR,4,CAS5,14.666666666666666,63
FEDXDF8,F,PR,4,SUC,12,41
FEDXDF9,F,PR,4,CAS5,25.333333333333332,80
FEDXDF9,F,PR,4,SUC,14.666666666666666,46
FEDXDF10,F,PR,4,CAS5,24.5,54
FEDXDF10,F,PR,4,SUC,23.5,52
FEDXDF11,F,NR,4,CAS5,16.4,86
FEDXDF11,F,NR,4,SUC,9,42
FEDXDF12,F,NR,4,CAS5,13.5,62
FEDXDF12,F,NR,4,SUC,10.666666666666666,47
FEDXDF13,F,NR,4,CAS5,18.8,68
FEDXDF13,F,NR,4,SUC,10.4,40
FEDXDF14,F,NR,4,CAS5,20.25,101
FEDXDF14,F,NR,4,SUC,9,41
FEDXDF15,F,NR,4,CAS5,33,86
FEDXDF15,F,NR,4,SUC,8,53
FEDXDF16,F,NR,4,CAS5,31.2,83
FEDXDF16,F,NR,4,SUC,32,52
FEDXDF17,F,NR,4,CAS5,24.5,78
FEDXDF17,F,NR,4,SUC,18,59
FEDXDF18,F,NR,4,CAS5,42.5,91
FEDXDF18,F,NR,4,SUC,28.5,60
FEDXDF19,F,NR,4,CAS5,22.5,98
FEDXDF19,F,NR,4,SUC,10.666666666666666,55
FEDXDF20,F,NR,4,CAS5,18,66
FEDXDF20,F,NR,4,SUC,12,51
FEDXDM1,M,PR,4,CAS5,12.4,86
FEDXDM1,M,PR,4,SUC,15.25,66
FEDXDM2,M,PR,4,CAS5,36.5,82
FEDXDM2,M,PR,4,SUC,18.4,53
FEDXDM3,M,PR,4,CAS5,38.8,103
FEDXDM3,M,PR,4,SUC,30,55
FEDXDM4,M,PR,4,CAS5,12.333333333333334,96
FEDXDM4,M,PR,4,SUC,5.5,47
FEDXDM5,M,PR,4,CAS5,22,81
FEDXDM5,M,PR,4,SUC,25,56
FEDXDM6,M,PR,4,CAS5,24.333333333333332,87
FEDXDM6,M,PR,4,SUC,15.666666666666666,61
FEDXDM7,M,PR,4,CAS5,13.5,76
FEDXDM7,M,PR,4,SUC,2.6666666666666665,39
FEDXDM8,M,PR,4,CAS5,21.333333333333332,86
FEDXDM8,M,PR,4,SUC,8.5,59
FEDXDM9,M,PR,4,CAS5,12.4,85
FEDXDM9,M,PR,4,SUC,16,40
FEDXDM10,M,PR,4,CAS5,15.333333333333334,67
FEDXDM10,M,PR,4,SUC,3.6,45
FEDXDM11,M,NR,4,CAS5,18.181818181818183,105
FEDXDM11,M,NR,4,SUC,7.6,44
FEDXDM12,M,NR,4,CAS5,16.75,74
FEDXDM12,M,NR,4,SUC,10.857142857142858,43
FEDXDM13,M,NR,4,CAS5,22.4,75
FEDXDM13,M,NR,4,SUC,16,41
FEDXDM14,M,NR,4,CAS5,17.714285714285715,78
FEDXDM14,M,NR,4,SUC,17.2,58
FEDXDM15,M,NR,4,CAS5,23.142857142857142,91
FEDXDM15,M,NR,4,SUC,14,48
FEDXDM16,M,NR,4,CAS5,24.333333333333332,78
FEDXDM16,M,NR,4,SUC,17.2,52
FEDXDM17,M,NR,4,CAS5,14.444444444444445,77
FEDXDM17,M,NR,4,SUC,10.5,52
FEDXDM18,M,NR,4,CAS5,16.166666666666668,106
FEDXDM18,M,NR,4,SUC,10.285714285714286,45
FEDXDM19,M,NR,4,CAS5,21.666666666666668,70
FEDXDM19,M,NR,4,SUC,16.8,49
FEDXDM20,M,NR,4,CAS5,15.428571428571429,58
FEDXDM20,M,NR,4,SUC,22,39
