MOUSEID,SEX,DIET,CHOICE_SESSION,AVG_BREAKPOINTS,MAX_PELLETS,COST,EFFICIENCY,AVG_INTER_PELLET_INTERVAL,SWITCH_COUNT
FEDXDF1,F,PR,4,32.333333333333336,66,28.001763229266913,0.925725028645167,839.0204081632653,53
FEDXDF10,F,PR,4,21.77777777777778,54,20.206790653141965,0.9413878134994109,775.6190476190476,74
FEDXDF11,F,NR,4,12.941176470588236,86,10.752047039385767,0.9543405780536302,633.2440944881889,56
FEDXDF12,F,NR,4,19.25,62,15.934567029241418,0.9632279520848728,753.0,74
FEDXDF13,F,NR,4,16.727272727272727,68,11.500043260828186,0.9285159415430184,756.1775700934579,70
FEDXDF14,F,NR,4,16.4,101,14.201589153747847,0.936559633094759,578.8439716312057,68
FEDXDF15,F,NR,4,24.5,86,24.28439268344155,0.9673766266671854,586.7608695652174,88
FEDXDF16,F,NR,4,28.666666666666668,83,19.819280166854195,0.9457908106888758,611.6044776119403,74
FEDXDF17,F,NR,4,23.454545454545453,78,14.184427898792746,0.9636318960822771,590.0882352941177,70
FEDXDF18,F,NR,4,32.44444444444444,91,21.846073853557083,0.9591543590214163,546.4466666666667,105
FEDXDF19,F,NR,4,15.555555555555555,98,18.826474103250348,0.974113905088383,522.9934210526316,71
FEDXDF2,F,PR,4,17.555555555555557,77,23.9643902548356,0.9460788954753784,662.9186991869918,84
FEDXDF20,F,NR,4,26.0,66,21.11294187330049,0.938376551774478,687.4827586206897,77
FEDXDF3,F,PR,4,28.8,63,23.682684864660676,0.9052905398719737,731.4272727272727,83
FEDXDF4,F,PR,4,14.666666666666666,80,10.44339024905366,0.9681652029718703,666.3360655737705,63
FEDXDF5,F,PR,4,21.666666666666668,55,22.77310526622393,0.8936233379852032,776.2254901960785,75
FEDXDF6,F,PR,4,16.25,58,18.419341538956598,0.943412056890277,826.3541666666666,59
FEDXDF7,F,PR,4,30.857142857142858,79,21.514434535117474,0.9175189941587935,622.1507936507936,73
FEDXDF8,F,PR,4,27.2,63,21.05873881628498,0.9827287274289067,752.8543689320388,73
FEDXDF9,F,PR,4,20.0,80,19.907301997879557,0.9494626150879479,589.808,55
FEDXDM1,M,PR,4,20.857142857142858,86,25.51101208381579,0.9637772911250548,531.317880794702,73
FEDXDM10,M,PR,4,16.88888888888889,67,22.11358160708016,0.88227852473076,717.3963963963964,78
FEDXDM11,M,NR,4,12.909090909090908,105,10.955424463804352,0.934840585121278,540.972972972973,59
FEDXDM12,M,NR,4,13.75,74,9.490680744015856,0.8751647540551465,687.6293103448276,72
FEDXDM13,M,NR,4,21.5,75,15.867987980169449,0.9241271907102513,688.895652173913,62
FEDXDM14,M,NR,4,18.46153846153846,78,13.028094852345534,0.9343298217693494,593.9703703703703,82
FEDXDM15,M,NR,4,18.857142857142858,91,17.95770340495452,0.9212690809637452,572.1884057971015,71
FEDXDM16,M,NR,4,19.5,78,19.70324812935702,0.9401384854113736,637.2868217054264,73
FEDXDM17,M,NR,4,12.88888888888889,77,12.316542753888527,0.8777906116539664,633.234375,78
FEDXDM18,M,NR,4,13.8,106,14.008274190756447,0.9269229954235598,539.3266666666667,62
FEDXDM19,M,NR,4,18.166666666666668,70,18.4474149375463,0.9186692122563789,691.1610169491526,76
FEDXDM2,M,PR,4,25.6,82,23.424978589924848,0.9498548694852768,586.7537313432836,76
FEDXDM20,M,NR,4,16.0,58,14.13657415718235,0.9167917202679969,831.5208333333334,61
FEDXDM3,M,PR,4,32.888888888888886,103,29.222212783702595,0.9634236941707356,512.1847133757962,93
FEDXDM4,M,PR,4,19.454545454545453,96,25.846901295878872,0.9396723636491857,561.830985915493,66
FEDXDM5,M,PR,4,21.666666666666668,81,19.26949307963435,0.8933733755277625,591.9044117647059,83
FEDXDM6,M,PR,4,20.615384615384617,87,20.767763856011754,0.9444803032869231,551.843537414966,80
FEDXDM7,M,PR,4,19.5,76,21.783375571921827,0.9412043971032855,705.5,68
FEDXDM8,M,PR,4,25.5,86,27.129596578607625,0.9437782883279027,526.9444444444445,100
FEDXDM9,M,PR,4,25.0,85,24.724161978901908,0.926790224691374,645.6451612903226,62
