Variable,FED000_042123_02.CSV,FED000_042223_00.CSV,FED003_042523_00.CSV,FED011_042123_02.CSV,FED011_042223_00.CSV,FED015_042123_04.CSV,FED015_042223_00.CSV,FED017_042123_03.CSV,FED017_042223_01.CSV,FED019_042123_02.CSV,Average,STD
Pellets Taken,62.0,78.0,66.0,86.0,83.0,68.0,91.0,101.0,98.0,86.0,81.9,13.328749211968674
Pellets Taken (Night),37.0,56.0,36.0,45.0,52.0,42.0,57.0,57.0,62.0,42.0,48.6,9.311880106139206
Pellets Taken (Day),25.0,22.0,30.0,41.0,31.0,26.0,34.0,44.0,36.0,44.0,33.3,7.902882737049535
Pellets per Hour,2.6856943458433107,3.4840006451853043,2.9619656681252104,3.7260801540498254,3.631325652617763,2.954380883417813,3.984286635126425,4.382254040568392,4.405594405594406,3.7373249637856105,3.595290739431406,0.5885402238891867
Pellets per Hour (Night),3.090415535602422,4.762579730687456,3.1088828651618012,3.782748797459487,4.324124549570359,3.59289974574056,4.817466838830849,4.72245236122618,5.186837702175126,3.599914287755053,4.098832241420929,0.7588083166695603
Pellets per Hour (Day),2.2496625506174075,2.0696683826795934,2.8030106410589153,3.665805682495529,2.862125564218301,2.2954116291046427,3.0887251438376904,4.008198588020952,3.498164543295185,3.878645412473371,3.041941813780159,0.7034052421862755
Number of Meals,56.0,66.0,59.0,67.0,73.0,62.0,88.0,84.0,83.0,79.0,71.7,11.333823518811096
Number of Meals (Night),34.0,48.0,34.0,36.0,51.0,37.0,57.0,46.0,53.0,40.0,43.6,8.474799243771043
Number of Meals (Day),22.0,18.0,25.0,31.0,22.0,25.0,31.0,38.0,30.0,39.0,28.1,6.935416353759881
Average Pellets per Meal,1.0892857142857142,1.1666666666666667,1.1016949152542372,1.2686567164179106,1.1232876712328768,1.0806451612903225,1.0227272727272727,1.1904761904761905,1.1686746987951808,1.0759493670886076,1.1288064374234978,0.07077168356944909
Average Pellets per Meal (Night),1.088235294117647,1.1666666666666667,1.0588235294117647,1.25,1.0196078431372548,1.135135135135135,1.0,1.2391304347826086,1.169811320754717,1.05,1.1177410224005793,0.08822898913571564
Average Pellets per Meal (Day),1.0909090909090908,1.1666666666666667,1.16,1.2903225806451613,1.3636363636363635,1.0,1.064516129032258,1.131578947368421,1.1666666666666667,1.1025641025641026,1.153686054748873,0.10632201368408511
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,1507.0,1586.0,2066.0,1245.0,2145.0,1080.0,2645.0,1547.0,1983.0,2633.0,1843.7,541.0038098037963
Total Pokes (Night),804.0,1221.0,1470.0,629.0,1674.0,616.0,1981.0,888.0,1691.0,1850.0,1282.4,519.0716499461108
Total Pokes (Day),702.0,364.0,595.0,615.0,470.0,463.0,663.0,658.0,291.0,782.0,560.3,157.12560439201357
Correct Pokes (%),0.00980092899800929,0.009653215636822194,0.0094675701839303,0.009678714859437752,0.009710955710955711,0.009416666666666667,0.009708884688090736,0.009528118939883645,0.009818456883509834,0.009810102544625903,0.009659361511193204,0.0001439566654056915
Correct Pokes (%) (Night),98.6318407960199,97.21539721539722,94.76190476190476,97.45627980922097,97.4910394265233,94.96753246753246,96.87026754164563,97.2972972972973,98.34417504435245,98.86486486486487,97.1900599224759,1.3875286526955841
Correct Pokes (%) (Day),97.72079772079772,95.05494505494505,94.9579831932773,96.58536585365853,96.38297872340425,93.73650107991361,98.19004524886877,93.00911854103343,97.9381443298969,96.54731457800511,96.01231943238005,1.774790598520144
Recording Duration (Hours),23.085277777777776,22.388055555555557,22.2825,23.080555555555556,22.856666666666666,23.016666666666666,22.83972222222222,23.0475,22.244444444444444,23.011111111111113,22.785249999999998,0.3434503388964201
Battery Change (V),-0.0600000000000005,-0.05999999999999961,-0.040000000000000036,-0.07000000000000028,-0.05999999999999961,-0.04999999999999982,-0.04999999999999982,-0.0600000000000005,-0.040000000000000036,-0.040000000000000036,-0.053000000000000026,0.010593499054713865
Battery Rate (V/hour),-0.002599059044364516,-0.0026800004962963704,-0.0017951307079546747,-0.0030328559393428935,-0.0026250546886393295,-0.0021723388848660314,-0.002189168480838687,-0.002603319232020848,-0.0017982017982018,-0.001738290680830518,-0.0023233419953355666,0.0004489397286034041
Motor Turns (Mean),1.7903225806451613,1.5769230769230769,2.196969696969697,1.6744186046511629,1.6144578313253013,1.5588235294117647,1.4395604395604396,2.0,1.489795918367347,2.0,1.7341271677853953,0.2535427924211447
Motor Turns (Median),2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.4,0.5163977794943223
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
