Variable,FED001_042123_03.CSV,FED001_042223_00.CSV,FED003_042123_02.CSV,FED003_042223_00.CSV,FED005_042123_03.CSV,FED005_042223_00.CSV,FED007_042123_02.CSV,FED007_042223_00.CSV,FED009_042123_02.CSV,FED009_042223_00.CSV,Average,STD
Pellets Taken,66.0,58.0,77.0,79.0,63.0,63.0,80.0,80.0,55.0,54.0,67.5,10.575128052810204
Pellets Taken (Night),47.0,35.0,42.0,42.0,37.0,39.0,49.0,52.0,35.0,31.0,40.9,6.789698078707183
Pellets Taken (Day),19.0,23.0,35.0,37.0,26.0,24.0,31.0,28.0,20.0,23.0,26.6,6.095535707019979
Pellets per Hour,2.871784954554245,2.619232795604506,3.3401614652367755,3.4526714499034856,2.731773123110463,2.7542655898961685,3.4642865734837733,3.500540882184921,2.433030228557385,2.364330714407336,2.953207777693906,0.44523568320041657
Pellets per Hour (Night),3.0822479278622823,2.928666062338749,3.543805371958937,3.556977510115743,3.16126735493058,3.2487215679015202,3.9375,4.38335635844241,2.926421404682274,2.626005929690809,3.3394969487923305,0.5260920616644448
Pellets per Hour (Day),2.4568083042994147,2.2564382068401687,3.1246900109116162,3.341444447231769,2.289180199569556,2.208137395215702,2.9112537173266553,2.547641914775312,1.8787182966287443,2.0843822374383243,2.509869473023726,0.4735489405754426
Number of Meals,61.0,54.0,69.0,75.0,57.0,59.0,66.0,76.0,50.0,53.0,62.0,9.153020145163987
Number of Meals (Night),47.0,34.0,39.0,41.0,34.0,38.0,41.0,51.0,34.0,31.0,39.0,6.289320754704403
Number of Meals (Day),14.0,20.0,30.0,34.0,23.0,21.0,26.0,25.0,16.0,22.0,23.1,6.026792034094276
Average Pellets per Meal,1.0655737704918034,1.0555555555555556,1.1014492753623188,1.04,1.087719298245614,1.0508474576271187,1.196969696969697,1.0394736842105263,1.08,1.0,1.0717588738462633,0.0525148733911848
Average Pellets per Meal (Night),1.0,1.0294117647058822,1.0769230769230769,1.024390243902439,1.088235294117647,1.0263157894736843,1.1951219512195121,1.0196078431372548,1.0294117647058822,1.0,1.0489417728185377,0.05890124273807295
Average Pellets per Meal (Day),1.2857142857142858,1.1,1.1333333333333333,1.0588235294117647,1.0869565217391304,1.0952380952380953,1.1538461538461537,1.08,1.1875,1.0,1.1181411919282762,0.07828285370651707
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,2853.0,1739.0,2947.0,2400.0,2360.0,1897.0,1058.0,2096.0,1915.0,1536.0,2080.1,581.9210427540836
Total Pokes (Night),2684.0,1363.0,1749.0,1301.0,1543.0,1298.0,797.0,1639.0,1332.0,1062.0,1476.8,504.7656882158295
Total Pokes (Day),168.0,375.0,1197.0,1098.0,816.0,598.0,260.0,456.0,582.0,473.0,602.3,340.10751568029514
Correct Pokes (%),0.00946372239747634,0.009327199539965497,0.009463861554122837,0.009433333333333334,0.009241525423728813,0.009873484449130205,0.009782608695652175,0.009618320610687023,0.009383812010443865,0.009375,0.009496286801454007,0.00020168194094298715
Correct Pokes (%) (Night),95.41728763040238,94.2039618488628,93.8822184105203,96.771714066103,93.45430978613092,99.46070878274269,98.36888331242159,97.1934106162294,95.12012012012012,94.35028248587571,95.8222897059409,2.036300463274912
Correct Pokes (%) (Day),83.92857142857143,90.66666666666666,95.98997493734336,91.71220400728598,90.80882352941177,97.65886287625418,97.3076923076923,93.2017543859649,91.40893470790378,93.02325581395348,92.57067406610477,4.0017444378423415
Recording Duration (Hours),22.982222222222223,22.14388888888889,23.052777777777777,22.88083333333333,23.061944444444446,22.87361111111111,23.092777777777776,22.85361111111111,22.605555555555554,22.839444444444446,22.838666666666665,0.28306992112711954
Battery Change (V),-0.09000000000000075,-0.040000000000000036,-0.07000000000000028,-0.04999999999999982,-0.08000000000000007,-0.04999999999999982,-0.08000000000000007,-0.040000000000000036,-0.09000000000000075,-0.02999999999999936,-0.0620000000000001,0.022509257354845855
Battery Rate (V/hour),-0.003916070392574003,-0.0018063674452444885,-0.0030365104229425357,-0.0021852350948756163,-0.0034689182515688453,-0.0021859250713461577,-0.0034642865734837765,-0.001750270441092462,-0.003981322192184845,-0.001313517063559603,-0.0027108422948872333,0.0009752608178720762
Motor Turns (Mean),1.7121212121212122,1.6379310344827587,2.207792207792208,2.1772151898734178,1.6825396825396826,1.746031746031746,1.6875,2.275,1.4363636363636363,1.8703703703703705,1.8432865079575034,0.28205825640136567
Motor Turns (Median),2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.8,0.4216370213557839
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
