Variable,FED002_042323_00.CSV,FED002_042423_00.CSV,FED004_042323_00.CSV,FED004_042423_00.CSV,FED006_042323_00.CSV,FED006_042423_00.CSV,FED008_042323_00.CSV,FED008_042423_00.CSV,FED010_042323_00.CSV,FED010_042423_00.CSV,Average,STD
Pellets Taken,66.0,61.0,53.0,39.0,55.0,59.0,47.0,40.0,56.0,45.0,52.1,9.060905032059436
Pellets Taken (Night),48.0,35.0,43.0,29.0,38.0,39.0,29.0,30.0,38.0,29.0,35.8,6.613118276073196
Pellets Taken (Day),18.0,26.0,10.0,10.0,17.0,20.0,18.0,10.0,18.0,16.0,16.3,5.121848624601603
Pellets per Hour,2.9498305337256507,2.6949083902953848,2.3714825494680323,1.7080084183890707,2.4531668153434434,2.7659491346642184,2.095771298337751,1.7480183056361451,2.4978317432784043,1.9653754231016536,2.3250342612239754,0.4301939915820161
Pellets per Hour (Night),4.116245831348261,2.9484029484029484,3.2130181199277694,2.573647232836189,3.4605752447446307,3.233160621761658,2.3676690706218535,2.5028388681606453,3.3353651103254904,2.4940277114190157,3.024495075954846,0.5529519837169636
Pellets per Hour (Day),1.6801929110379341,2.415359207266722,1.1153452923134122,0.8646363723700643,1.486122240839222,2.157885272433016,1.7685589519650655,0.9177118384827164,1.632447411512785,1.4198732960287919,1.545813279424973,0.5021245113817414
Number of Meals,60.0,60.0,51.0,38.0,54.0,57.0,43.0,39.0,52.0,43.0,49.7,8.380532998165053
Number of Meals (Night),45.0,35.0,42.0,29.0,38.0,39.0,29.0,31.0,35.0,29.0,35.2,5.750362307426087
Number of Meals (Day),15.0,25.0,9.0,9.0,16.0,19.0,14.0,9.0,17.0,14.0,14.7,5.056349144063003
Average Pellets per Meal,1.0833333333333333,1.0,1.0196078431372548,1.0,1.0,1.0175438596491229,1.069767441860465,1.0,1.0576923076923077,1.0232558139534884,1.0271200599625974,0.031655179737350346
Average Pellets per Meal (Night),1.0666666666666667,1.0,1.0238095238095237,1.0,1.0,1.0256410256410255,1.0,1.0,1.0857142857142856,1.0,1.0201831501831502,0.0315209689056502
Average Pellets per Meal (Day),1.1333333333333333,1.0,1.0,1.0,1.0,1.0,1.2142857142857142,1.0,1.0,1.0714285714285714,1.041904761904762,0.07545277790195459
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,2479.0,1628.0,1537.0,1067.0,1753.0,1891.0,1270.0,920.0,1397.0,1335.0,1527.7,447.21783158645286
Total Pokes (Night),2112.0,1370.0,1450.0,887.0,1503.0,1622.0,833.0,624.0,1188.0,943.0,1253.2,446.6370139410999
Total Pokes (Day),366.0,257.0,86.0,179.0,249.0,268.0,437.0,295.0,208.0,391.0,273.6,104.79418983045873
Correct Pokes (%),0.00964098426784994,0.009416461916461916,0.00955757970071568,0.009465791940018745,0.009691956645750142,0.009571655208884188,0.009448818897637795,0.008108695652173913,0.008883321403006442,0.00900374531835206,0.009278901095085081,0.0004886925696082622
Correct Pokes (%) (Night),97.44318181818183,95.32846715328466,97.58620689655172,96.05411499436303,97.73785761809714,97.04069050554871,95.07803121248499,85.41666666666666,89.05723905723906,92.57688229056204,94.33193382129798,4.13800923942694
Correct Pokes (%) (Day),91.2568306010929,89.10505836575877,65.11627906976744,89.3854748603352,93.17269076305222,88.43283582089553,94.05034324942791,72.20338983050848,88.9423076923077,84.39897698209718,85.60641872352434,9.469594288561616
Recording Duration (Hours),22.374166666666667,22.635277777777777,22.34888888888889,22.83361111111111,22.42,21.330833333333334,22.426111111111112,22.883055555555554,22.419444444444444,22.89638888888889,22.45677777777778,0.4520003209329129
Battery Change (V),-0.03999999999999959,-0.040000000000000036,-0.04999999999999982,-0.040000000000000036,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.040000000000000036,-0.050000000000000266,-0.040000000000000036,-0.04499999999999993,0.00527046276694728
Battery Rate (V/hour),-0.0017877760810458307,-0.0017671530428166472,-0.002237247688177381,-0.0017518035060400741,-0.002230151650312213,-0.002344024690393397,-0.002229543934401855,-0.0017480183056361469,-0.0022302069136414444,-0.0017470003760903603,-0.002007292618855535,0.0002627049113763303
Motor Turns (Mean),1.5757575757575757,1.819672131147541,1.6415094339622642,1.5128205128205128,1.7636363636363637,2.2542372881355934,1.6595744680851063,1.45,1.6428571428571428,1.7777777777777777,1.709784269417988,0.22408705084721936
Motor Turns (Median),1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.4,0.5163977794943223
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
