Variable,FED000_041523_00.CSV,FED000_041623_00.CSV,FED011_041623_00.CSV,FED011_041723_00.CSV,FED015_041523_00.CSV,FED015_041623_00.CSV,FED017_041523_00.CSV,FED017_041623_00.CSV,FED019_041523_00.CSV,FED019_041623_00.CSV,Average,STD
Pellets Taken,120.0,127.0,110.0,147.0,143.0,115.0,172.0,116.0,155.0,84.0,128.9,25.562342094051814
Pellets Taken (Night),80.0,71.0,65.0,85.0,108.0,67.0,95.0,68.0,94.0,47.0,78.0,17.944358444926362
Pellets Taken (Day),40.0,56.0,45.0,62.0,35.0,48.0,77.0,48.0,61.0,37.0,50.9,13.118688958886096
Pellets per Hour,5.248769819573537,5.523006486995808,4.802503122839783,6.581843961046229,6.265365236229098,5.062238634418332,7.5034536244880154,5.064519258756185,6.933399602385686,3.6992183199383466,5.668431806667102,1.1409148062258103
Pellets per Hour (Night),6.77216826956992,5.88289449456822,4.713655500271941,7.1035587436451,9.017115821698594,5.632092653995237,8.100042631803325,5.714552500116719,7.918567918567918,3.7663609651856467,6.462100949942261,1.6243685252562177
Pellets per Hour (Day),3.6200915078686715,5.125467164975975,4.9369171695008225,5.979746021539946,3.22679778733866,4.435773693397679,6.878411910669977,4.361653793730122,5.8179891376341235,3.6173044021399665,4.8000152588795935,1.1767799823834024
Number of Meals,86.0,61.0,64.0,83.0,64.0,63.0,77.0,73.0,79.0,54.0,70.4,10.647900158142816
Number of Meals (Night),60.0,35.0,38.0,48.0,51.0,32.0,37.0,47.0,50.0,29.0,42.7,9.911273043021936
Number of Meals (Day),26.0,26.0,26.0,35.0,13.0,31.0,40.0,26.0,29.0,25.0,27.7,7.08754776585903
Average Pellets per Meal,1.3837209302325582,2.0655737704918034,1.703125,1.7590361445783131,2.21875,1.8095238095238095,2.220779220779221,1.5753424657534247,1.9493670886075949,1.537037037037037,1.8222255467003763,0.28758944852861146
Average Pellets per Meal (Night),1.3333333333333333,2.0285714285714285,1.7105263157894737,1.7708333333333333,2.1176470588235294,2.09375,2.5675675675675675,1.446808510638298,1.88,1.6206896551724137,1.8569727203229376,0.36302205579125946
Average Pellets per Meal (Day),1.5,2.1153846153846154,1.6923076923076923,1.7428571428571429,2.6153846153846154,1.5161290322580645,1.9,1.8076923076923077,2.0689655172413794,1.44,1.8398720923125818,0.3568175655587151
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,156.0,189.0,136.0,168.0,170.0,155.0,227.0,175.0,181.0,141.0,169.8,26.199236630100504
Total Pokes (Night),99.0,87.0,75.0,97.0,123.0,75.0,103.0,97.0,107.0,64.0,92.7,17.60082068793637
Total Pokes (Day),56.0,101.0,60.0,70.0,46.0,79.0,123.0,77.0,73.0,76.0,76.1,22.223361081928577
Correct Pokes (%),0.008525641025641026,0.007566137566137566,0.008970588235294117,0.009345238095238096,0.009058823529411765,0.008193548387096775,0.008898678414096917,0.0070857142857142855,0.009005524861878453,0.006950354609929078,0.008360024901043808,0.0008714616111680406
Correct Pokes (%) (Night),86.86868686868688,85.0574712643678,93.33333333333333,97.9381443298969,90.2439024390244,92.0,98.05825242718447,76.28865979381443,91.58878504672897,76.5625,88.79397355030372,7.702094778356341
Correct Pokes (%) (Day),87.5,69.3069306930693,90.0,91.42857142857143,95.65217391304348,75.9493670886076,83.73983739837398,67.53246753246754,91.78082191780823,67.10526315789474,81.99954331298363,11.040874409636682
Recording Duration (Hours),22.8625,22.994722222222222,22.904722222222222,22.33416666666667,22.823888888888888,22.717222222222222,22.922777777777778,22.904444444444444,22.355555555555554,22.7075,22.75275,0.2326078687629144
Battery Change (V),-0.05000000000000071,-0.05999999999999961,-0.06000000000000005,-0.04999999999999982,-0.05999999999999961,-0.040000000000000036,-0.050000000000000266,-0.029999999999999805,-0.04999999999999982,-0.040000000000000036,-0.048999999999999974,0.009944289260117483
Battery Rate (V/hour),-0.0021869874248223384,-0.0026092944033050893,-0.0026195471579126112,-0.002238722435730002,-0.0026288245746415623,-0.001760778655449856,-0.0021812365187465275,-0.0013097894634714188,-0.0022365805168986005,-0.001761532533303976,-0.0021533293684281984,0.0004329040987441718
Motor Turns (Mean),1.5083333333333333,1.5196850393700787,1.6636363636363636,1.530612244897959,1.4825174825174825,1.3304347826086957,1.3430232558139534,1.7327586206896552,1.6193548387096774,1.6071428571428572,1.5337498818720054,0.12926364679503516
Motor Turns (Median),1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.3,0.4830458915396479
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
